theme,literature,number,chosen,difficulty
Гравітаційна сила. Закони Кеплера,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.6.42,True,2
Гравітаційна сила. Закони Кеплера,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.6.50,True,2
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.2,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.3,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.4,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.5,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.6,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.7,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.8,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.9,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.11,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.12,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.14,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.15,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.16,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.17,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.1,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.3,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.5,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.6,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.7,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.8,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.9,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.10,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.11,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.12,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.15,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.18,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.19,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.21,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.22,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.24,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.26,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.27,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.28,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.29,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.30,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.31,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.32,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.33,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.35,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.36,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.37,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.1,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.2,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.4,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.5,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.6,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.8,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.9,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.10,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.12,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.13,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.14,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.15,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.16,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.17,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.18,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.19,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.20,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.22,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.23,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.24,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.25,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.26,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.28,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.29,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.30,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.31,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.32,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.33,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.34,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.35,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.36,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.1,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.2,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.3,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.4,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.5,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.6,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.7,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.8,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.9,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.10,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.11,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.12,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.13,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.14,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.15,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.16,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.17,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.18,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.4.19,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.1,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.2,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.3,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.4,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.5,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.6,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.7,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.8,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.9,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.10,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.11,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.12,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.13,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.14,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.15,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.16,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.17,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.18,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.19,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.20,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.21,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.22,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.23,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.24,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.25,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.26,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.27,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.28,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.29,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.30,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.31,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.32,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.33,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.34,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.35,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.36,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.37,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.38,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.39,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.40,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.41,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.5.42,False,
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.1,True,0
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.2,True,0
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.4,True,0
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.20,True,0
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.23,True,0
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.3,True,0
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.10,True,1
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.1.13,True,1
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.13,True,1
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.14,True,1
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.25,True,1
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.11,True,1
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.16,True,2
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.17,True,2
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.2.34,True,2
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.7,True,2
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.21,True,2
Коливання,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.3.27,True,2
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.1,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.2,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.3,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.6,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.9,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.11,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.13,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.14,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.15,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.16,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.17,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.18,False,
Деформація та напруга. Хвилі,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",3.6.19,False,
